B-002-001-001;What is a good way to make contact on a repeater?;Say the call sign of the station you want to contact, then your call sign;Say the other operator's name, then your call sign three times;Say, "Breaker, breaker,";Say the call sign of the station you want to contact three times;Quelle est la bonne façon de faire un contact sur un répéteur?;Dire l'indicatif de la station que vous voulez rejoindre, puis donner votre indicatif;Dire le nom du radioamateur que vous appelez, puis dire votre indicatif à trois reprises;Dire "breaker, breaker";Dire à trois reprises l'indicatif de la station que vous voulez rejoindre
B-002-001-002;What is the main purpose of a repeater?;To increase the range of portable and mobile stations;To link amateur stations with the telephone system;To retransmit weather information during severe storm warnings;To make local information available 24 hours a day;Pourquoi utilise-t-on un répéteur?;Pour améliorer la portée des stations portables et mobiles;Pour établir un lien du service radioamateur au réseau téléphonique public;Pour retransmettre les informations durant les veilles météorologiques;Pour rendre disponibles les informations locales 24 heures par jour
B-002-001-003;What is frequency coordination on VHF and UHF bands?;A process which seeks to carefully assign frequencies so as to minimize interference with neighbouring repeaters;A band plan detailing modes and frequency segments within a band;The selection of simplex frequencies by individual operators;A part of the planning prior to a contest;Que veut-on dire par coordination de fréquence sur les bandes VHF et UHF?;Un processus qui vise, par une attribution de fréquence judicieuse, à minimiser le brouillage avec les répéteurs avoisinants;Un plan de bande montrant les modes d'émission par segment de bande;Le choix de fréquences simplex par des individus;La planification préalable à un concours
B-002-001-004;What is the purpose of a repeater time-out timer?;It interrupts lengthy transmissions without pauses;It lets a repeater have a rest period after heavy use;It logs repeater transmit time to predict when a repeater will fail;It tells how long someone has been using a repeater;Pourquoi un répéteur est-il équipé d'une minuterie limitant la durée de la retransmission?;Afin de mettre fin à de longues transmissions sans pauses;Afin de laisser refroidir le répéteur après une période d'utilisation intense;Afin d'enregistrer la durée des retransmissions, et ainsi déterminer à l'avance quand l'équipement fera défaut;Afin de déterminer la durée d'utilisation du répéteur par un radioamateur
B-002-001-005;What is a CTCSS tone?;A sub-audible tone that activates a receiver audio output when present;A tone used by repeaters to mark the end of a transmission;A special signal used for telemetry between amateur space stations and Earth stations;A special signal used for radio control of model craft;Que veut dire la tonalité CTCSS?;Une tonalité infravocale (sous-audible) qui active la sortie audio d'un récepteur si présente;Une tonalité utilisée par les répéteurs pour indiquer la fin d'une retransmission;Un signal spécial utilisé en télémesure entre des stations spatiales du service radioamateur et des stations terrestres;Un signal spécial utilisé pour les modèles télécommandés
B-002-001-006;How do you call another station on a repeater if you know the station's call sign?;Say the station's call sign, then identify your own station;Say "break, break 79," then say the station's call sign;Say "CQ" three times, then say the station's call sign;Wait for the station to call "CQ", then answer it;Comment appelez-vous une autre station sur un répéteur si vous connaissez l'indicatif d'appel de sa station?;Dites l'indicatif d'appel de la station appelée, puis identifiez votre propre station;Dites "break, break 79", puis identifiez votre propre station;Dites "CQ" trois fois, puis identifiez votre propre station;Attendez que la station dise "CQ", puis répondez-lui
B-002-001-007;Why should you pause briefly between transmissions when using a repeater?;To listen for anyone else wanting to use the repeater;To check the SWR of the repeater;To reach for pencil and paper for third-party communications;To dial up the repeater's autopatch;Pourquoi devriez-vous faire une légère pause entre les transmissions faites sur un répéteur?;Pour vérifier s'il n'y a pas quelqu'un qui désire se servir du répéteur;Pour vérifier le ROS du répéteur;Pour aller chercher une feuille de papier et un crayon pour les communications au nom d'un tiers;Pour signaler un numéro sur le raccordement téléphonique
B-002-001-008;Why should you keep transmissions short when using a repeater?;A long transmission may prevent someone with an emergency from using the repeater;To keep long-distance charges down;To give any listening non-hams a chance to respond;To see if the receiving station operator is still awake;Pourquoi devriez-vous vous limiter à de courtes conversations lorsque vous utilisez un répéteur?;Une trop longue conversation peut empêcher une personne d'utiliser le répéteur en cas d'urgence;Pour éviter les frais d'appels interurbains;Pour permettre à des non-amateurs de participer à la conversation;Pour vous assurer que l'opérateur de l'autre station est toujours éveillé
B-002-001-009;What is the proper way to join into a conversation on a repeater?;Say your call sign during a break between transmissions;Wait for the end of a transmission and start calling the desired party;Shout, "break, break!" to show that you're eager to join the conversation;Turn on an amplifier and override whoever is talking;Quelle est la meilleure façon de se  joindre à une conversation qui se déroule sur un répéteur?;Donnez votre indicatif durant la pause entre les transmissions;Attendez la fin d'une transmission, puis appelez la station que vous désirez contacter;Criez "break, break!" pour indiquer votre empressement à participer à la conversation;Mettez votre amplificateur en service pour être sûr d'être entendu
B-002-001-010;What is the accepted way to ask someone their location when using a repeater?;Where are you?;What is your 20?;Locations are not normally told by radio;What is your 12?;Quelle est la meilleure façon de se renseigner sur le lieu d'émission de l'autre personne lorsque vous utilisez un répéteur?;Où êtes-vous situé?;Quel est votre "20"?;On ne doit pas donner son emplacement en ondes;Quel est votre "12"?
B-002-001-011;FM repeater operation on the 2 metre band uses one frequency for transmission and one for reception. The difference in frequency between the transmit and receive frequency is normally:;600 kHz;800 kHz;1 000 kHz;400 kHz;Sur la bande 2 mètres, les répéteurs FM utilisent une fréquence d'émission différente de la fréquence de réception. L'écart entre ces fréquences est normalement le suivant :;600 kHz;800 kHz;1 000 kHz;400 kHz
B-002-002-001;To make your call sign better understood when using voice transmissions, what should you do?;Use Standard International Phonetics for each letter of your call sign;Use any words which start with the same letters as your call sign for each letter of your call;Talk louder;Turn up your microphone gain;Pour vous assurer que votre indicatif est bien compris, quel moyen pouvez-vous utiliser en téléphonie?;Employer l'alphabet phonétique international pour chacune des lettres de votre indicatif;Utiliser des mots commençant par les mêmes lettres que les lettres de votre indicatif;Parler plus fort;Augmenter le gain de l'amplificateur microphonique
B-002-002-002;What can you use as an aid for correct station identification when using phone?;The Standard International Phonetic Alphabet;Q signals;Unique words of your choice;A speech compressor;Comment pouvez-vous faciliter l'identification de votre station lorsque vous utilisez la phonie?;Par l'alphabet phonétique international;Par les codes "Q";Par des mots choisis à votre guise;Par un compresseur audio
B-002-002-003;What is the Standard International Phonetic for the letter A?;Alfa;Able;Adam;America;Comment se prononce la lettre A en alphabet phonétique international?;Alfa;Able;Adam;America
B-002-002-004;What is the Standard International Phonetic for the letter B?;Bravo;Brazil;Borneo;Baker;Comment se prononce la lettre B en alphabet phonétique international?;Bravo;Brazil;Borneo;Baker
B-002-002-005;What is the Standard International Phonetic for the letter D?;Delta;Dog;Denmark;David;Comment se prononce la lettre D en alphabet phonétique international?;Delta;Dog;Denmark;David
